Date;rent_CH5YRetCHF_Acum;DE5YRetAcu;CH5YRetAcuCHF;ES5YRetAcu
22/03/2013;16.84639757;18.65030454;11.33578324;-15.06551502
29/03/2013;16.99990513;19.3514625;11.45888141;-17.35378734
05/04/2013;17.24442104;19.02085448;11.66544097;-14.58693886
12/04/2013;17.27631152;18.81340442;11.69186568;-13.80159274
19/04/2013;17.41486374;18.54160413;11.80604522;-13.31279322
26/04/2013;17.69171876;18.52684218;12.03450635;-11.74655866
03/05/2013;17.58756111;18.27972824;11.94669433;-8.47714224
10/05/2013;17.33882528;17.68810703;11.74893064;-9.844737257
17/05/2013;17.53785295;18.09847961;11.90739487;-10.32252064
24/05/2013;16.6812559;17.79728567;11.22934198;-12.59804467
31/05/2013;17.01420154;17.54062244;11.49869514;-11.93066891
07/06/2013;16.41584514;17.19219354;11.01622263;-12.66892154
14/06/2013;16.77961539;17.51495393;11.30880903;-13.52920568
21/06/2013;16.57024499;16.15266025;11.14001237;-14.85461198
28/06/2013;16.31026942;16.46753423;10.92658349;-14.17428407
05/07/2013;16.31574609;17.01440542;10.93107173;-12.795073
12/07/2013;16.42722976;17.61461467;11.02000677;-14.0268109
19/07/2013;16.72193108;17.7758191;11.2602129;-13.04051795
26/07/2013;16.66242316;17.02720727;11.21127176;-11.68442261
02/08/2013;16.5479405;17.03745501;11.11777734;-11.00171874
09/08/2013;16.70911585;16.85529671;11.24700884;-12.17173893
16/08/2013;16.83406996;15.98045428;11.34962785;-10.64284503
23/08/2013;16.40428396;15.60804643;11.00130278;-11.06100285
30/08/2013;16.87828297;16.01030072;11.3805154;-12.36466903
06/09/2013;17.05952939;15.06690745;11.52798831;-11.64801758
13/09/2013;16.78053988;15.06709592;11.30008412;-10.91032427
20/09/2013;16.8990427;15.33396416;11.39840102;-8.678920454
27/09/2013;17.02708635;16.09006469;11.50111614;-10.30991862
04/10/2013;17.03254919;15.88350239;11.50562129;-8.868399639
11/10/2013;17.22174547;15.84428782;11.6574368;-9.618670008
18/10/2013;17.21960979;15.98992003;11.6556881;-8.580535404
25/10/2013;17.25230859;16.15350618;11.68250347;-7.520567397
01/11/2013;16.93385116;16.64372717;11.42025987;-6.498041199
08/11/2013;17.15106441;16.45792633;11.59625508;-6.58176192
15/11/2013;16.81689736;16.61976641;11.32260536;-5.724246459
22/11/2013;16.98562248;16.25538294;11.46073911;-4.968132436
29/11/2013;17.21015139;16.42069472;11.64039432;-6.293584756
06/12/2013;17.29596614;15.46472801;11.71023282;-6.774273545
13/12/2013;17.33827102;15.23916071;11.74516156;-5.845414814
20/12/2013;16.97234392;14.895344;11.44610312;-6.030178179
27/12/2013;16.9265246;14.43536206;11.40888113;-6.552571064
03/01/2014;16.94737791;14.65129129;11.42643161;-3.015632851
10/01/2014;16.48292372;15.33923554;11.04576932;-2.263144412
17/01/2014;16.94693992;15.31086133;11.42207859;-1.974052984
24/01/2014;17.33355983;15.97704306;11.73415272;-2.947143879
31/01/2014;17.67362331;16.50785779;12.01372919;-2.201953082
07/02/2014;17.18488172;16.35455003;11.60888913;-1.224634615
14/02/2014;16.9164392;16.18453642;11.389149;-1.414669636
21/02/2014;16.93614296;16.28582901;11.40532376;-1.331144846
28/02/2014;16.9340927;16.26493859;11.40362061;-0.485820415
07/03/2014;16.80729316;16.2308293;11.29877271;0.122463797
14/03/2014;17.07582558;16.62964559;11.51867926;-0.324105794
21/03/2014;16.86031868;16.08912393;11.3399145;0.446587632
28/03/2014;17.1853491;16.45892632;11.60787609;1.21268529
04/04/2014;17.35943786;16.41465317;11.75185111;2.420126059
11/04/2014;17.3327612;16.58095906;11.73006883;1.688491906
18/04/2014;16.42765986;16.46452289;10.97670363;2.470723481
25/04/2014;17.003795;16.61969171;11.44798062;2.654524296
02/05/2014;16.92295884;16.85773756;11.38157986;2.637538953
09/05/2014;16.91026836;16.63105766;11.3711154;3.227147964
